하빛(sh15****),10,,2020.08.18 11:53
ajaj****,8,그럭저럭 잘봣습니다 쫌 지루한감이 잇긴햇어요,2020.08.18 11:50
kejk****,9,"진짜 웃겼어요!편하게 오랜만에 본 영화인거같아요부모님,연인,친구 모두가 웃을수있는영화!재밌었습니당ㅎㅎ",2020.08.18 11:47
504호로그아웃(dbdb****),10,1도 기대 안하고 그냥 봤었는데 너무 재밌었고 중간중간에 웃음 주는게 진짜 너무 웃겼어요... 웃음 참느라 혼남 ㅠ.ㅠ,2020.08.18 11:42
캐징(gpwl****),10,액션이 좋았어요~~~재밋는 부분도 많아서 빵빵 웃으면서 봣네요,2020.08.18 11:40
you(youu****),10,가족들이랑 편하게 보기 좋네요 !!! 재밌어요 ~~~,2020.08.18 11:31
그루터기(kmb5****),6,코로나 이후 두번째 관람영화. 극장 빵빵한 에어콘바람외 아무것도 기억에 남는게 없는것 같아요.,2020.08.18 11:20
나의집은금오산입니다(chch****),10,"시원하고 짜릿한  웃음,,  감사^^",2020.08.18 11:15
momoyaung(vivi****),2,기대도 안했지만....정말 별로네요,2020.08.18 11:10
Ucal(dide****),5,인물배경의 개연성이 아예 없고 마치 제가 대학생 때 과제로 만든 단편영화를 보는 것 같았습니다. 제2의 <극한직업>처럼 뜬금없이 나오는 대작 코믹영화를 기대했는데 아쉽군요. 피식했던 부분도 없었습니다. 이...,2020.08.18 11:07
꽃다운나이(stk7****),6,평점 높고 유투버 리뷰도 좋아서 바로 여자친구 데리고 영화관으로 달려갔는데 이게 웬걸 B급 코미디 감성에 오글거리는 연기..엄정화씨 연기가 제일 자연스럽고 좋았습니다 박성웅씨는 개인적으로 굉장히 팬이지만 내안에 그놈...,2020.08.18 11:06
롤리(kime****),10,"캐릭터들 개성을 하나하나 살려서 너무 좋았고, 스토리 흐름 쳐지지않게 액션감, 타격감도 살려줘서 좋았어요.",2020.08.18 10:56
호동(ajju****),10,간만에 가족들이 함께 웃고 재미있게 봤습니다..쉴새없는 반전에 반전..시기가 시기인지라 우리가족 4명포함 6명이서 봤네요..코로나가 빨리지나가서 좋은 평가받았으면 하는 영화입니다..,2020.08.18 10:55
허무스나이퍼(kari****),1,무슨 90년대 소재를 쯧 30년동안 한국영화계는 뭐했냐 도대체?,2020.08.18 10:45
단하(werq****),1,10점 준 사람들은 길가다가 낙엽 떨어져도 배꼽잡고 웃는거지?,2020.08.18 10:40
임마누엘 헤어샵(kyj2****),8,지루한일상에 유쾌하게 볼수있는 영화네요  재밌게 잘봤어요,2020.08.18 10:27
24ps****,10,모처럼 연기파배우 박성웅의 선한 사랑꾼의 모습이 반갑고 능청스럽게 해서 덕분에 많이 웃었어요^^ 늙지 않는 배우 엄정화씨의 코믹연기는 보증수표^^ 모든 배우들의 연기력 뿐만아니라 반증에 반증을 더하는 스토리가 짱짱했...,2020.08.18 10:23
honor the gift(jtj1****),10,여기는 하와이 화와이 에 도착허신 것을 환영합니다,2020.08.18 10:21
dad2****,9,유치한듯한데 스토리 탄탄함 ㅋㅋ,2020.08.18 10:20
만들레(ddli****),8,재미있게 잘 보았습니다.,2020.08.18 10:16
코피칠갑(copy****),6,"극장에서 꼬꼬마 애들은 디게 좋아하더라. 성인이 볼땐 웃긴지도 모르겠고, 액션도 그저 그렇고 그냥 딱 명절 티비용",2020.08.18 10:14
멀리가는 자(moun****),6,거의 비행기 안에서 이루어 졌는데  내용이 이상함,2020.08.18 10:06
듀리됴아(suns****),10,재밌네요 볼만합니다 추천,2020.08.18 10:06
현아키(esde****),10,감독님은 웃게 하소서임?,2020.08.18 10:04
one1234(xodm****),10,넘 재밌었음!!가족이랑 같이 막 웃으면서 봤어요!추천추천 꼭보세요!!,2020.08.18 09:59
맘무러빗(mamo****),10,아니 너무 재밌는데요?ㅋㅋ 진짜 너무재밌어요 꼭 보세요,2020.08.18 09:52
주사랑(wnd1****),1,배경음에 설렜다가잤다...,2020.08.18 09:48
nav1****,6,진지하게보면 헛점 투성이고 아무 생각없이보면 잼난영화입니다,2020.08.18 09:43
고씨(clov****),9,가족끼리 시간 보내기 좋은 유쾌한 코미디 영화입니다.,2020.08.18 09:15
필쓰(skol****),7,유치함..,2020.08.18 08:53
KHJ(wwhj****),6,9살 저희아이와 보기에 좋았어요 저희아이는 재밌다고 했어요....^^ 저는.. 그냥 뭐..ㅋ,2020.08.18 08:33
딩뎅동ㅎ(ms_2****),2,알바진짜 많다...왠만하면 이런거 안남기는데 진짜 재미없어요...중간에 나간 사람이 이해되는...,2020.08.18 08:31
정이의꿈(simo****),10,신랑과 주말아침을 즐겁게 시작할게 없나 싶어 개봉을 기다린 오케이 마담. 엄정화의 모성을 자극하는 감동과 코믹 액션까지 3종세트 다 만족해요~~ 신랑도 재밌다고~^^ ㅎ 끝까지 긴장풀지 마세용~~^^,2020.08.18 08:22
란이(q199****),2,엄정화 나오는 영화중에. 오케이마담은.. 다시는 보고 싶지 않는 영화.. ㅎ,2020.08.18 08:20
이쁜앵순(dodt****),2,제발보지마세요 제발.,2020.08.18 07:33
김경호(chil****),2,내가 멀본거지? 재미도 감동도 모두 앗아간 영화~ㅠㅡㅠ 모처럼 가족과 본 영화인데,2020.08.18 06:55
sall****,1,진짜 재미없음 돈아까운영화,2020.08.18 06:43
tak8****,10,재미있게 웃고 봤음 올여름 오케이 마담 추천,2020.08.18 03:49
최수빈(soob****),10,B안 코미디 좋아하시는 분들에게 추천,2020.08.18 03:39
바다(park****),10,큰 내용 없지만  볼만 했음 초반에  안대 쓴애가 누구였지  왜 쓰러졌지 생각  안나서  혹  했는데  막판 김남길  보고  아차  싶었음,2020.08.18 03:34
pp9(pp94****),8,킬링 타임으로 보기좋은듯,2020.08.18 03:25
녹차보이(blue****),8,타임킬링영화예요그냥 웃으면서 볼 수있어요배우들 연기가 좋은 편은 아니예요 스토리도 현실정이 좀 없고... 여튼 그래도 재미있게 봤습니다 ㅋ,2020.08.18 02:48
68L(stin****),10,"가볍게 보기 좋음, 정말 오랜만에 극장가서 보고왔는데액션도 시원하니 좋았다",2020.08.18 02:21
룽(ksw1****),10,기대를 안 하고 봤는데 재밌었고 또 봐도 좋을만큼 개인적으로 마음에 들었다!예상 못한곳에서 나 혼자 큭큭 웃음 ㅋㅋㅋㅋ 가볍게 보기 좋음,2020.08.18 02:21
soo(sooa****),1,"클레멘타인 이후 최고의 영화 전개. 스토리 개연성 다 밥말아먹은, 쟁쟁한 배우의 연기력이 무쓸모인 영화. 손에 땀을 쥐게하는 액션은 커녕 악당들은 착하고 참을성이 만렙에다 승객들은 담력왕. 나도 작가, 감독 할수 있...",2020.08.18 02:11
기쁨(aqua****),8,가족영화! 욕이 없어서 좋았어용 ^^,2020.08.18 02:07
철없는고딩(shoc****),10,ㅋㅋ아 생각보다 재밌게 봤네요,2020.08.18 02:02
feve****,7,엄정화&박성웅 케미좋고 비행기안 좁은공간에서의 액션은 압권,2020.08.18 01:54
로맨짱(loma****),2,이 영화는 15세이상 금지로 해야할듯 유치찬란한 내용이며 오바스러운 연기며 요즘 나오는 애니메이션들보다도 유치한듯 어설프게 영화 극한직업 따라한 초등학생 방학특선영화느낌 그나마 엄정화 액션하나만 엑기스,2020.08.18 01:46
dlql****,10,그냥짱잼 다연기좋아요ㅎㄹ,2020.08.18 01:36
정주하(jjuh****),10,간만에 마음 편히 웃을 수 있는 코미디 영화 봤어요. 다른 영화 안 보고 이거 예매해서 보기를 잘함!,2020.08.18 01:34
Mohawk(ramb****),1,누가되었든 같이보자하면 등짝맞음ㄷ,2020.08.18 01:32
나이거 참(prim****),2,알바들아 양심좀? 박성웅인기팔이로 저급 쓰레기 영화 많이찍더라 ?그래서  그 애들 나오면 안보기로했다 ㆍ,2020.08.18 01:27
하이쭈(ksng****),10,아무생각없이 편하게 즐기며 웃고옴나름 반전이 있어서 좋았다,2020.08.18 01:22
baga****,10,이거 보세요  2020년도반도살아있다다만 악에서 구하소서 에 이은 올해 마지막 액션감동 무비 가족 연인과 꼭 같이보세오,2020.08.18 01:17
이상은(dltk****),6,"기대없이 보면 볼만함. 기대하지말고 보면 괜찮을듯.그런데 스토리가 억지로 끼워 맞춘것도 있고, 잉? 이런 부분도 있었음.그리고 솔직히 박성웅님 없었으면 코믹에서 망했음.",2020.08.18 01:08
주랑(glor****),7,생각없이 가볍게 보기 좋은 영화아무 정보 없이 가서 보면 좋아요:),2020.08.18 01:05
어쮸쮸내새끼(cek0****),10,여러모로 힘든 요즘 한바탕 웃을 수 있어서 좋았어요.엄정화 배우의 액션또한 훌륭해서 보는 내내 통쾌하고 속 시원했네요~대박행진 응원합니다,2020.08.18 01:04
pon0****,5,이광수는 전생에 나라를 구한게 틀림없다.,2020.08.18 01:00
현진(fksl****),1,제발 이런거만들지 마세요,2020.08.18 00:55
나는요(dnjf****),10,오랜만에 극장 나들이 다녀왔어요 ^^ 초등학생 아이들과 함께봤는데.. 초딩 4학년딸이 엄정화씨 액션씬보며 박수쳐서 민망했지만 웃을 일 없는 요즘!맘껏 웃을 수 있어서 넘 좋았어요 반전도 있고 잼있어요,2020.08.18 00:47
송민욱(ugi1****),1,뭔 평점이 이렇게 높냐... 장난치나...,2020.08.18 00:45
캡틴아메리카노(kimy****),2,유치하고 가족영화라고 친다 해도 과해요... 다 댓글알바 같은데 이상하다아 시간 아깝다,2020.08.18 00:43
낙타탄소년(wjdw****),1,이 영화를 보면 안되는 이유1.억지+오버 연기와 연출.2.하나도 재미없는 쥐어짜내는 웃음 포인트.3.뻔하디 뻔한 스토리.4.전형적인 노잼 영화.5.돈이 아까움 절대 보지 마셈    간곡히 부탁드림,2020.08.18 00:42
꿈꾸는다락방(gpff****),8,웃고  편하게 볼수잇는 영화~~비록 마스크쓰고  봐야하는  불편함도 잇지만  그래도  볼만한재미요소가  많아요,2020.08.18 00:42
사랑해(mib2****),10,오랜만에 70대 엄마도 13살 딸도 40대 오빠와 저도 너무나 재미있게 봤네요~^^ 너무 재미있어도 고1 제자들도 예매해줬는데 너무 재미있었다고 연락왔더라고요 ㅎㅎ 1만원도 안되는 돈으로 간만에 힐링 잘했너요^0^/...,2020.08.18 00:38
김혜림(khr0****),2,재미도 없고 감동도없다웃기지도않고... 재밌다고하는사람들은 뭐지...공짜로봐도안볼듯,2020.08.18 00:36
윤하영(1004****),10,,2020.08.18 00:28
용문효(yool****),10,,2020.08.18 00:23
소미맘(kiss****),10,딸아이와 오랜만에 엄청웃었네요,2020.08.18 00:23
윤선영(seri****),2,너무 재미가 없어서 시계를 계속 보게 되네요. . 더운 여름 피서를 위해 급 제작한 영화같아요,2020.08.18 00:19
유닉핏(unic****),10,,2020.08.18 00:18
redw****,4,비행기에서 펼쳐지는 클리세의 향연!어설픈 반전!방황하는 웃음 포인트!,2020.08.18 00:12
고광민(esu8****),3,너무 억지 웃음 유발어이없는 반전 전개박성웅이 아까운 영화,2020.08.18 00:10
김선생(hotj****),1,제작진과 배우들은 아직도 이런수준낮은 코미디가 먹힌다고 생각한건가 국민수준을 더없이 낮게 본거다그리고 평론가들에게 묻고싶다. 진심인건지..반전을 위한 한심한 반전에 형편없는 스토리라인 무엇하나 빼놓지않고 졸작이다.감...,2020.08.18 00:10
Sion(dpfl****),10,개꿀잼입니다 진짜 두번보세요,2020.08.18 00:10
분당케빈(ksm2****),1,진심 평점알바에당했네요.. 그냥끝나자마자 돈아깝다 시간아깝다 한숨이다나오네요. 그냥전부 오버연기에 웃음포인트하나없고 스토리도 진부하고 너무 유치해서 헛웃음밖에안나옵니다. 시간많으면보세요 히트맨이후 돈아까운영화또생겼네...,2020.08.18 00:03
이지이짓(spir****),10,조아요~! 추천합니당,2020.08.17 23:58
조동근(dkch****),10,,2020.08.17 23:54
tt14****,1,댓글알바 개쩐다..  단체일행만 아니면뛰쳐나갔다 ㅡㅡ,2020.08.17 23:45
노마(duck****),10,,2020.08.17 23:42
경상도짝귀(fort****),2,웃긴거 나오겠지 하다 끝남.,2020.08.17 23:41
카르페디엠(mink****),10,엄정화 액션 너무 볼만해요 재밌게 잘봤습니다^^,2020.08.17 23:39
Miyote(ikha****),2,"어떤점이 좋았는지를 누르라는데 뭘 눌러야 할지 몰라서 고민했네요스토리는 없다고 보시면 되고..영상미도 없다고 보시면 되고..연출은 글쎄.. 스토리가 커버하지 못해서, 연기로 대충 커버하는데공감되는 부분이 없어서. 나...",2020.08.17 23:39
tnse****,1,그냥 보라고 해도 안봐요 절대연기 스토리 똥이고 코미디영화인데 이런 억지웃음 짜내는영화는 처음이네요보실거면 다만악 보세요,2020.08.17 23:38
세아이맘(he31****),10,즐겁게 이시국에  실컷 웃고 왔어요~^^,2020.08.17 23:32
이레(anhj****),4,과장된 코믹연기가 너무 오글거렸습니다 오케이 노이로제 걸릴 것 같습니다 오케이? 오케이!,2020.08.17 23:29
dlkkk(ldm9****),6,큰기대 없이 쏘쏘 하게 볼수 있음,2020.08.17 23:24
Young(jaey****),9,생각없이 보기 좋은 영화!! 병맛코미디,2020.08.17 23:22
j4754(js54****),10,킬링타임으로 딱! 재밌고 감동적이고 김남길이 잘 잠,2020.08.17 23:21
유흔(dbgm****),2,별하나도 아깝다..정말 형편 없는 영화,2020.08.17 23:18
